Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
10/18/20,AQS,60731014,1,61,ug/m3 SC,54,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
10/24/20,AQS,60731014,1,20,ug/m3 SC,19,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
10/30/20,AQS,60731014,1,151,ug/m3 SC,99,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
11/8/20,AQS,60731014,1,13,ug/m3 SC,12,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
11/11/20,AQS,60731014,1,49,ug/m3 SC,45,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
11/17/20,AQS,60731014,1,98,ug/m3 SC,72,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
11/23/20,AQS,60731014,1,61,ug/m3 SC,54,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
11/29/20,AQS,60731014,1,45,ug/m3 SC,42,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
12/5/20,AQS,60731014,1,69,ug/m3 SC,58,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
12/11/20,AQS,60731014,1,72,ug/m3 SC,59,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
12/18/20,AQS,60731014,1,33,ug/m3 SC,31,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
12/23/20,AQS,60731014,1,72,ug/m3 SC,59,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
12/29/20,AQS,60731014,1,14,ug/m3 SC,13,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
1/4/20,AQS,60731014,2,36,ug/m3 SC,33,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
1/10/20,AQS,60731014,2,17,ug/m3 SC,16,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
1/16/20,AQS,60731014,2,55,ug/m3 SC,51,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
1/22/20,AQS,60731014,2,22,ug/m3 SC,20,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
1/28/20,AQS,60731014,2,32,ug/m3 SC,30,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
2/3/20,AQS,60731014,2,46,ug/m3 SC,43,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
2/9/20,AQS,60731014,2,14,ug/m3 SC,13,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
2/15/20,AQS,60731014,2,43,ug/m3 SC,40,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
2/27/20,AQS,60731014,2,54,ug/m3 SC,50,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
