Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
10/6/20,AQS,60730001,1,31.4,ug/m3 LC,92,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
10/9/20,AQS,60730001,1,13.9,ug/m3 LC,55,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
10/12/20,AQS,60730001,1,11.6,ug/m3 LC,48,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
10/15/20,AQS,60730001,1,16.6,ug/m3 LC,60,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
10/18/20,AQS,60730001,1,13.5,ug/m3 LC,54,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
10/21/20,AQS,60730001,1,10.6,ug/m3 LC,44,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
10/24/20,AQS,60730001,1,8.6,ug/m3 LC,36,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
10/27/20,AQS,60730001,1,10.9,ug/m3 LC,45,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
10/30/20,AQS,60730001,1,14.9,ug/m3 LC,57,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
11/8/20,AQS,60730001,1,4.7,ug/m3 LC,20,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
11/14/20,AQS,60730001,1,12.1,ug/m3 LC,51,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
11/17/20,AQS,60730001,1,11.5,ug/m3 LC,48,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
