Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
7/5/20,AQS,60731008,1,8,ppb,8,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
7/6/20,AQS,60731008,1,8,ppb,8,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
7/7/20,AQS,60731008,1,9,ppb,8,Camp Pendleton,21,88,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
7/8/20,AQS,60731008,1,8,ppb,8,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
7/9/20,AQS,60731008,1,10,ppb,9,Camp Pendleton,21,88,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
7/10/20,AQS,60731008,1,9,ppb,8,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
7/11/20,AQS,60731008,1,6,ppb,6,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
7/12/20,AQS,60731008,1,4,ppb,4,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
7/13/20,AQS,60731008,1,9,ppb,8,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
7/14/20,AQS,60731008,1,7,ppb,7,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
7/15/20,AQS,60731008,1,11,ppb,10,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
7/16/20,AQS,60731008,1,4,ppb,4,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
7/17/20,AQS,60731008,1,8,ppb,8,Camp Pendleton,21,88,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
7/18/20,AQS,60731008,1,5,ppb,5,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
7/19/20,AQS,60731008,1,5,ppb,5,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
7/20/20,AQS,60731008,1,9,ppb,8,Camp Pendleton,21,88,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
7/21/20,AQS,60731008,1,3,ppb,3,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
7/22/20,AQS,60731008,1,5,ppb,5,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
7/23/20,AQS,60731008,1,2,ppb,2,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
7/24/20,AQS,60731008,1,4,ppb,4,Camp Pendleton,24,100,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
7/25/20,AQS,60731008,1,4,ppb,4,Camp Pendleton,24,100,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
7/26/20,AQS,60731008,1,4,ppb,4,Camp Pendleton,24,100,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
7/27/20,AQS,60731008,1,12,ppb,11,Camp Pendleton,24,100,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
7/28/20,AQS,60731008,1,5,ppb,5,Camp Pendleton,24,100,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
7/29/20,AQS,60731008,1,7,ppb,7,Camp Pendleton,24,100,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
7/30/20,AQS,60731008,1,9,ppb,8,Camp Pendleton,24,100,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
7/31/20,AQS,60731008,1,19,ppb,18,Camp Pendleton,21,88,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
8/1/20,AQS,60731008,1,10,ppb,9,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
8/2/20,AQS,60731008,1,3,ppb,3,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
8/3/20,AQS,60731008,1,8,ppb,8,Camp Pendleton,21,88,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
8/4/20,AQS,60731008,1,4,ppb,4,Camp Pendleton,20,83,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
8/5/20,AQS,60731008,1,3,ppb,3,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
8/6/20,AQS,60731008,1,11,ppb,10,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
8/7/20,AQS,60731008,1,8,ppb,8,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
8/8/20,AQS,60731008,1,5,ppb,5,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
8/9/20,AQS,60731008,1,2,ppb,2,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
8/10/20,AQS,60731008,1,9,ppb,8,Camp Pendleton,21,88,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
8/11/20,AQS,60731008,1,11,ppb,10,Camp Pendleton,21,88,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
8/12/20,AQS,60731008,1,12,ppb,11,Camp Pendleton,19,79,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
8/13/20,AQS,60731008,1,15,ppb,14,Camp Pendleton,21,88,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
8/14/20,AQS,60731008,1,10,ppb,9,Camp Pendleton,18,75,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
8/19/20,AQS,60731008,1,13,ppb,12,Camp Pendleton,19,79,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
8/22/20,AQS,60731008,1,9,ppb,8,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
8/23/20,AQS,60731008,1,3,ppb,3,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
8/24/20,AQS,60731008,1,5,ppb,5,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
8/25/20,AQS,60731008,1,10,ppb,9,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
8/26/20,AQS,60731008,1,13,ppb,12,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
8/27/20,AQS,60731008,1,7,ppb,7,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
8/28/20,AQS,60731008,1,10,ppb,9,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
8/29/20,AQS,60731008,1,5,ppb,5,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
8/30/20,AQS,60731008,1,2,ppb,2,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
8/31/20,AQS,60731008,1,6,ppb,6,Camp Pendleton,21,88,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
9/1/20,AQS,60731008,1,14,ppb,13,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
9/2/20,AQS,60731008,1,16,ppb,15,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
9/3/20,AQS,60731008,1,11,ppb,10,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
9/4/20,AQS,60731008,1,10,ppb,9,Camp Pendleton,20,83,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
9/5/20,AQS,60731008,1,14,ppb,13,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
9/6/20,AQS,60731008,1,15,ppb,14,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
9/7/20,AQS,60731008,1,11,ppb,10,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
9/8/20,AQS,60731008,1,17,ppb,16,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
9/9/20,AQS,60731008,1,12,ppb,11,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
9/10/20,AQS,60731008,1,20,ppb,19,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
9/11/20,AQS,60731008,1,21,ppb,20,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
9/12/20,AQS,60731008,1,14,ppb,13,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
9/13/20,AQS,60731008,1,10,ppb,9,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
9/14/20,AQS,60731008,1,20,ppb,19,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
9/15/20,AQS,60731008,1,24,ppb,23,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
9/16/20,AQS,60731008,1,29,ppb,27,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
9/17/20,AQS,60731008,1,30,ppb,28,Camp Pendleton,21,88,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
9/18/20,AQS,60731008,1,23,ppb,22,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
9/19/20,AQS,60731008,1,13,ppb,12,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
9/20/20,AQS,60731008,1,4,ppb,4,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
9/21/20,AQS,60731008,1,17,ppb,16,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
9/22/20,AQS,60731008,1,14,ppb,13,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
9/23/20,AQS,60731008,1,21,ppb,20,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
9/24/20,AQS,60731008,1,12,ppb,11,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
9/25/20,AQS,60731008,1,14,ppb,13,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
9/26/20,AQS,60731008,1,7,ppb,7,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
9/28/20,AQS,60731008,1,10,ppb,9,Camp Pendleton,21,88,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
9/29/20,AQS,60731008,1,14,ppb,13,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
9/30/20,AQS,60731008,1,17,ppb,16,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
10/1/20,AQS,60731008,1,30,ppb,28,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
10/2/20,AQS,60731008,1,28,ppb,26,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
10/3/20,AQS,60731008,1,13,ppb,12,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
10/4/20,AQS,60731008,1,14,ppb,13,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
10/5/20,AQS,60731008,1,30,ppb,28,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
10/6/20,AQS,60731008,1,32,ppb,30,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
10/7/20,AQS,60731008,1,10,ppb,9,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
10/8/20,AQS,60731008,1,25,ppb,24,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
